Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,2022-01-07 13:15,Close entry(s) order Long,295.65,16,4837.6,-128.25,-2.65,161.36,3.33,-132.24,-2.73,-128.25,-0.26
1,Entry long,2022-01-03 15:15,Long,302.35,16,4837.6,-128.25,-2.65,161.36,3.33,-132.24,-2.73,-128.25,-0.26
2,Exit long,2022-03-29 10:15,Close entry(s) order Long,285.5,17,4846.7,-14.54,-0.30,47.99,0.99,-82.06,-1.69,-142.79,-0.29
2,Entry long,2022-03-23 10:15,Long,285.1,17,4846.7,-14.54,-0.30,47.99,0.99,-82.06,-1.69,-142.79,-0.29
3,Exit long,2022-04-07 14:15,Close entry(s) order Long,296.15,16,4753.6,-36.08,-0.76,147.94,3.11,-44.86,-0.94,-178.87,-0.36
3,Entry long,2022-04-04 15:15,Long,297.1,16,4753.6,-36.08,-0.76,147.94,3.11,-44.86,-0.94,-178.87,-0.36
4,Exit long,2022-08-11 15:15,Close entry(s) order Long,327.5,15,4767.75,123.45,2.58,291.76,6.11,-78.74,-1.65,-55.42,-0.11
4,Entry long,2022-08-01 12:15,Long,317.85,15,4767.75,123.45,2.58,291.76,6.11,-78.74,-1.65,-55.42,-0.11
5,Exit long,2022-10-07 12:15,Close entry(s) order Long,322.7,15,4852.5,-33.32,-0.69,24.57,0.51,-22.68,-0.47,-88.74,-0.18
5,Entry long,2022-10-04 12:15,Long,323.5,15,4852.5,-33.32,-0.69,24.57,0.51,-22.68,-0.47,-88.74,-0.18
6,Exit long,2022-10-10 13:15,Close entry(s) order Long,322.1,15,4890,-79.89,-1.63,0,0.00,-75.26,-1.54,-168.63,-0.34
6,Entry long,2022-10-07 14:15,Long,326,15,4890,-79.89,-1.63,0,0.00,-75.26,-1.54,-168.63,-0.34
7,Exit long,2022-10-19 10:15,Close entry(s) order Long,341.4,14,4923.8,-165.55,-3.35,0,0.00,-346.83,-7.03,-334.18,-0.67
7,Entry long,2022-10-14 10:15,Long,351.7,14,4923.8,-165.55,-3.35,0,0.00,-346.83,-7.03,-334.18,-0.67
8,Exit long,2023-01-11 14:15,Close entry(s) order Long,362.85,14,4910.5,147.42,3.00,353.9,7.19,-50.7,-1.03,-186.76,-0.37
8,Entry long,2023-01-04 12:15,Long,350.75,14,4910.5,147.42,3.00,353.9,7.19,-50.7,-1.03,-186.76,-0.37
